U+570B,國
U+570D,圍
U+5713,圓
U+5716,圖
U+5718,團
U+571C,圜
U+5726,圦
U+5737,圷
U+5738,圸
U+573B,圻
U+5740,址
U+574E,坎
U+574F,坏
U+5761,坡
U+5769,坩
U+577F,坿
U+5788,垈
U+5789,垉
U+5793,垓
U+57A0,垠
U+57A4,垤
U+57AA,垪
U+57B0,垰
U+57B3,垳
U+57C0,埀
U+57C3,埃
U+57C6,埆
U+57D2,埒
U+57D3,埓
U+57D4,埔
U+57D6,埖
U+57E3,埣
U+580A,堊
U+580B,堋
U+5819,堙
U+581D,堝
U+5821,堡
U+582F,堯
U+583D,堽
U+584B,塋
U+5852,塒
U+5862,塢
U+5870,塰
U+5872,塲
U+5879,塹
U+5885,墅
U+589F,墟
U+58AB,墫
U+58AE,墮
U+58B8,墸
U+58B9,墹
U+58BA,墺
U+58BB,墻
U+58C5,壅
U+58D1,壑
U+58D3,壓
U+58D7,壗
U+58D8,壘
U+58D9,壙
U+58DC,壜
U+58DE,壞
U+58DF,壟
U+58E4,壤
U+58E5,壥
U+58EF,壯
U+58F9,壹
U+58FA,壺
U+58FB,壻
U+58FC,壼
U+58FD,壽
U+5902,夂
U+590A,夊
U+5910,夐
U+5918,夘
U+591B,夛
U+5925,夥
U+592C,夬
U+592D,夭
U+5932,夲
U+5938,夸
U+593E,夾
U+594E,奎
U+5950,奐
U+5955,奕
U+5958,奘
U+595A,奚
U+5960,奠
U+5962,奢
U+5967,奧
U+5969,奩
U+596C,奬
U+5978,奸
U+5981,妁
U+598D,妍
U+599B,妛
U+599D,妝
U+59A3,妣
U+59B2,妲
U+59C6,姆
U+59D9,姙
U+59DA,姚
U+59DC,姜
U+59E8,姨
U+5A09,娉
U+5A11,娑
U+5A1A,娚
U+5A1C,娜
U+5A1F,娟
U+5A25,娥
U+5A35,娵
U+5A36,娶
U+5A40,婀
U+5A49,婉
U+5A62,婢
U+5A6A,婪
U+5A6C,婬
U+5A9A,媚
U+5ABC,媼
U+5ABD,媽
U+5ABE,媾
U+5AC2,嫂
U+5ACB,嫋
U+5AD0,嫐
U+5AD6,嫖
U+5AD7,嫗
U+5AE3,嫣
U+5AE6,嫦
U+5AE9,嫩
U+5AFA,嫺
U+5AFB,嫻
U+5B0B,嬋
U+5B0C,嬌
U+5B16,嬖
U+5B2A,嬪
U+5B32,嬲
U+5B36,嬶
U+5B3E,嬾
U+5B40,孀
U+5B43,孃
U+5B45,孅
U+5B51,孑
U+5B55,孕
U+5B5A,孚
U+5B5B,孛
U+5B65,孥
U+5B69,孩
U+5B70,孰
U+5B71,孱
U+5B73,孳
U+5B75,孵
U+5B78,學
U+5B7A,孺
U+5B80,宀
U+5B83,它
U+5BA6,宦
U+5BB8,宸
U+5BC3,寃
U+5BC7,寇
U+5BC9,寉
U+5BD0,寐
U+5BD4,寔
U+5BDE,寞
U+5BE2,寢
U+5BE4,寤
U+5BE5,寥
U+5BE6,實
U+5BE8,寨
U+5BEB,寫
U+5BF0,寰
U+5BF3,寳
U+5BF6,寶
U+5C05,尅
U+5C07,將
U+5C08,專
U+5C0D,對
U+5C13,尓
U+5C20,尠
U+5C22,尢
U+5C28,尨
U+5C38,尸
U+5C39,尹
U+5C41,屁
U+5C46,屆
U+5C4E,屎
U+5C4F,屏
U+5C50,屐
U+5C53,屓
U+5C6C,屬
U+5C6E,屮
U+5C76,屶
U+5C79,屹
U+5C8C,岌
U+5C91,岑
U+5C94,岔
U+5CAB,岫
U+5CB6,岶
U+5CB7,岷
U+5CBB,岻
U+5CBC,岼
U+5CBE,岾
U+5CC5,峅
U+5CC7,峇
U+5CD9,峙
U+5CE9,峩
U+5CEA,峪
U+5CED,峭
U+5CFA,峺
U+5CFD,峽
U+5D0B,崋
U+5D11,崑
U+5D14,崔
U+5D15,崕
U+5D17,崗
U+5D18,崘
U+5D19,崙
U+5D1A,崚
U+5D1B,崛
U+5D1F,崟
U+5D22,崢
U+5D4B,嵋
U+5D4C,嵌
U+5D4E,嵎
U+5D52,嵒
U+5D5C,嵜
U+5D6C,嵬
U+5D73,嵳
U+5D76,嵶
U+5D82,嶂
U+5D84,嶄
U+5D87,嶇
U+5D8C,嶌
U+5D90,嶐
U+5D9D,嶝
U+5DA2,嶢
U+5DAC,嶬
U+5DAE,嶮
U+5DB7,嶷
U+5DBC,嶼
U+5DBD,嶽
U+5DC9,巉
U+5DCD,巍
U+5DD2,巒
U+5DD3,巓
U+5DD6,巖
U+5DDB,巛
U+5DEB,巫
U+5DF2,已
U+5DF5,巵
U+5E0B,帋
U+5E11,帑
U+5E19,帙
U+5E1A,帚
U+5E1B,帛
U+5E36,帶
U+5E37,帷
U+5E40,幀
U+5E43,幃
U+5E44,幄
U+5E47,幇
U+5E4E,幎
U+5E54,幔
U+5E57,幗
U+5E5F,幟
U+5E62,幢
U+5E64,幤
U+5E75,幵
U+5E76,并
U+5E7A,幺
U+5E7F,广
U+5EA0,庠
U+5EC1,廁
U+5EC2,廂
U+5EC8,廈
U+5ECF,廏
U+5ED0,廐
U+5ED6,廖
U+5EDA,廚
U+5EDB,廛
U+5EDD,廝
U+5EE1,廡
U+5EE2,廢
U+5EE3,廣
U+5EE8,廨
U+5EE9,廩
U+5EEC,廬
U+5EF0,廰
U+5EF1,廱
U+5EF3,廳
U+5EF4,廴
U+5EF8,廸
U+5EFE,廾
U+5F03,弃
U+5F09,弉
U+5F0B,弋
U+5F0C,弌
U+5F0D,弍
U+5F11,弑
U+5F16,弖
U+5F29,弩
U+5F2D,弭
U+5F2F,弯
U+5F38,弸
U+5F41,彁
U+5F48,彈
U+5F4C,彌
U+5F4E,彎
U+5F51,彑
U+5F56,彖
U+5F57,彗
U+5F59,彙
U+5F5C,彜
U+5F5D,彝
U+5F61,彡
U+5F6D,彭
U+5F73,彳
U+5F77,彷
U+5F7F,彿
U+5F82,徂
U+5F83,徃
U+5F87,徇
U+5F88,很
U+5F8A,徊
U+5F91,徑
U+5F98,徘
U+5F99,徙
U+5F9E,從
U+5FA0,徠
U+5FA8,徨
U+5FAD,徭
U+5FBC,徼
U+5FD6,忖
U+5FDD,忝
U+5FE4,忤
U+5FF0,忰
U+5FF1,忱
U+5FF8,忸
U+5FFB,忻
U+5FFF,忿
U+600E,怎
U+600F,怏
U+6010,怐
U+6015,怕
U+6019,怙
U+601B,怛
U+6021,怡
U+6026,怦
U+6029,怩
U+602B,怫
U+6031,怱
U+603A,怺
U+6041,恁
U+6042,恂
U+6043,恃
U+6046,恆
U+604A,恊
U+604D,恍
U+6059,恙
U+605A,恚
U+605F,恟
U+6060,恠
U+6063,恣
U+6064,恤
U+606A,恪
U+606B,恫
U+606C,恬
U+6077,恷
U+6081,悁
U+6083,悃
U+6084,悄
U+608B,悋
U+608D,悍
U+6092,悒
U+6096,悖
U+6097,悗
U+609A,悚
U+609B,悛
U+60A7,悧
U+60B3,悳
U+60B4,悴
U+60B5,悵
U+60B8,悸
U+60BD,悽
U+60C6,惆
U+60D3,惓
U+60D8,惘
U+60E0,惠
U+60E1,惡
U+60E7,惧
U+60F1,惱
U+60F4,惴
U+60F6,惶
U+60F7,惷
U+60FA,惺
U+60FB,惻
U+6100,愀
U+6103,愃
U+6106,愆
U+610D,愍
U+610E,愎
U+6115,愕
U+6121,愡
U+6127,愧
U+6128,愨
U+612C,愬
U+6134,愴
U+613C,愼
U+613D,愽
U+613E,愾
U+613F,愿
U+6142,慂
U+6144,慄
U+6147,慇
U+614A,慊
U+614D,慍
U+6153,慓
U+6158,慘
U+6159,慙
U+615A,慚
U+615D,慝
U+615F,慟
U+6165,慥
U+616B,慫
U+616F,慯
U+6171,慱
U+6173,慳
U+6174,慴
U+6175,慵
U+6177,慷
U+6187,憇
U+618A,憊
U+6191,憑
U+6194,憔
U+6196,憖
U+6199,憙
U+619A,憚
U+61AB,憫
U+61AC,憬
U+61AE,憮
U+61BA,憺
U+61C3,懃
U+61C6,懆
U+61C8,懈
U+61C9,應
U+61CA,懊
U+61CB,懋
U+61CC,懌
U+61CD,懍
U+61E3,懣
U+61E6,懦
U+61F4,懴
U+61F6,懶
U+61F7,懷
U+61FA,懺
U+61FC,懼
U+61FD,懽
U+61FE,懾
U+61FF,懿
U+6200,戀
U+6208,戈
U+6209,戉
U+620C,戌
U+620D,戍
U+6214,戔
U+621B,戛
U+621D,戝
U+621E,戞
U+6221,戡
U+622A,截
U+622E,戮
U+6230,戰
U+6232,戲
U+6233,戳
U+6241,扁
U+6248,扈
U+624E,扎
U+625B,扛
U+625E,扞
U+6260,扠
U+6263,扣
U+6268,扨
U+627C,扼
U+627E,找
U+6282,抂
U+6283,抃
U+6289,抉
U+6292,抒
U+6293,抓
U+6294,抔
U+6296,抖
U+629B,抛
U+62AC,抬
U+62BB,抻
U+62C2,拂
U+62C6,拆
U+62C7,拇
U+62C8,拈
U+62C9,拉
U+62CA,拊
U+62CC,拌
U+62CF,拏
U+62D1,拑
U+62D4,拔
U+62D7,拗
U+62DC,拜
U+62EE,拮
U+62EF,拯
U+62F1,拱
U+62F5,拵
U+62FF,拿
U+6302,挂
U+6308,挈
U+630C,挌
U+6327,挧
U+633E,挾
U+634D,捍
U+634F,捏
U+6350,捐
U+6369,捩
U+636B,捫
U+6376,捶
U+6380,掀
U+6389,掉
U+638E,掎
U+638F,掏
U+6396,掖
U+639F,掟
U+63A3,掣
U+63AB,掫
U+63B5,掵
U+63BE,掾
U+63C0,揀
U+63C4,揄
U+63C6,揆
U+63C9,揉
U+63D2,插
U+63E3,揣
U+63E9,揩
U+63F6,揶
U+6406,搆
U+640F,搏
U+6413,搓
U+6416,搖
U+6417,搗
U+641C,搜
U+6426,搦
U+6428,搨
U+6434,搴
U+6436,搶
U+644E,摎
U+6467,摧
U+646F,摯
U+6476,摶
U+6488,撈
U+6493,撓
U+6495,撕
U+64A5,撥
U+64A9,撩
U+64BB,撻
U+64BC,撼
U+64C2,擂
U+64C5,擅
U+64C7,擇
U+64D2,擒
U+64D4,擔
U+64D8,擘
U+64DA,據
U+64E0,擠
U+64E1,擡
U+64E3,擣
U+64E7,擧
U+64EF,擯
U+64F1,擱
U+64F2,擲
U+64F4,擴
U+64F6,擶
U+64FA,擺
U+64FD,擽
U+6500,攀
U+6505,攅
U+6518,攘
U+651C,攜
U+651D,攝
U+6523,攣
U+6524,攤
U+652A,攪
U+652B,攫
U+652C,攬
U+6534,攴
U+6535,攵
U+6536,收
U+6537,攷
U+6538,攸
U+6548,效
U+654D,敍
U+6555,敕
U+6556,敖
U+6558,敘
U+655D,敝
U+655E,敞
U+6572,敲
U+6578,數
U+6582,斂
U+6583,斃
U+6588,斈
U+659B,斛
U+659F,斟
U+65AB,斫
U+65B7,斷
U+65C1,旁
U+65C3,旃
U+65C4,旄
U+65C6,旆
U+65CC,旌
U+65D2,旒
U+65D9,旙
U+65DB,旛
U+65E0,无
U+65E1,旡
U+65F1,旱
U+65FB,旻
U+6603,昃
U+660A,昊
U+661C,昜
U+6634,昴
U+6635,昵
U+6636,昶
U+663F,昿
U+6641,晁
U+6644,晄
U+6649,晉
U+664F,晏
U+665D,晝
U+665E,晞
U+665F,晟
U+6662,晢
U+6664,晤
U+6667,晧
U+6668,晨
U+6670,晰
U+6683,暃
U+6684,暄
U+6688,暈
U+6689,暉
U+668E,暎
U+6698,暘
U+669D,暝
U+66B8,暸
U+66B9,暹
U+66BC,暼
U+66BE,暾
U+66C1,曁
U+66C4,曄
U+66C9,曉
U+66D6,曖
U+66DA,曚
U+66E0,曠
U+66E6,曦
U+66E9,曩
U+66F0,曰
U+66F5,曵
U+66F7,曷
U+66FC,曼
U+6703,會
U+670F,朏
U+6716,朖
U+671E,朞
U+6726,朦
U+6727,朧
U+672E,朮
U+6736,朶
U+6737,朷
U+6738,朸
U+673F,朿
U+6741,杁
U+6746,杆
U+6759,杙
U+675E,杞
U+6760,杠
U+6763,杣
U+6764,杤
U+676A,杪
U+6770,杰
U+6772,杲
U+6773,杳
U+677C,杼
U+6785,枅
U+6789,枉
U+678B,枋
U+678C,枌
U+67A1,枡
U+67A6,枦
U+67A9,枩
U+67B3,枳
U+67B4,枴
U+67B7,枷
U+67B8,枸
U+67B9,枹
U+67C6,柆
U+67CE,柎
U+67DD,柝
U+67DE,柞
U+67E2,柢
U+67E4,柤
U+67E7,柧
U+67E9,柩
U+67EC,柬
U+67EE,柮
U+67EF,柯
U+681E,栞
U+6829,栩
U+682B,栫
U+6832,栲
U+6840,桀
U+6846,框
U+684D,桍
U+684E,桎
U+6859,桙
U+6863,档
U+6874,桴
U+6877,桷
U+687E,桾
U+687F,桿
U+6883,梃
U+688D,梍
U+688F,梏
U+6894,梔
U+689B,梛
U+689D,條
U+689F,梟
U+68A0,梠
U+68A6,梦
U+68AD,梭
U+68B3,梳
U+68B5,梵
U+68B9,梹
U+68BA,梺
U+68C6,棆
U+68CA,棊
U+68CD,棍
U+68D4,棔
U+68D5,棕
U+68D7,棗
U+68D8,棘
U+68E0,棠
U+68E1,棡
U+68E3,棣
U+68E7,棧
U+68EF,棯
U+68F9,棹
U+6901,椁
U+6904,椄
U+6908,椈
U+690C,椌
U+690F,椏
U+6912,椒
U+691A,椚
U+6921,椡
U+6922,椢
U+6923,椣
U+6925,椥
U+6926,椦
U+6928,椨
U+692A,椪
U+6930,椰
U+6936,椶
U+6939,椹
U+693D,椽
U+6954,楔
U+6959,楙
U+695C,楜
U+695D,楝
U+695E,楞
U+6961,楡
U+696A,楪
U+696B,楫
U+696E,楮
U+6974,楴
U+6977,楷
U+6978,楸
U+6979,楹
U+697E,楾
U+6981,榁
U+6991,榑
U+6995,榕
U+699C,榜
U+69A0,榠
U+69A7,榧
U+69AE,榮
U+69B1,榱
U+69B2,榲
U+69B4,榴
U+69BB,榻
U+69BE,榾
U+69BF,榿
U+69C1,槁
U+69C3,槃
U+69C7,槇
U+69CA,槊
U+69CE,槎
