U+5745,坅
U+5746,坆
U+574C,坌
U+574D,坍
U+5768,坨
U+576F,坯
U+5773,坳
U+5774,坴
U+5775,坵
U+577B,坻
U+579A,垚
U+579D,垝
U+579E,垞
U+57A8,垨
U+57AC,垬
U+57CC,埌
U+57D7,埗
U+57DE,埞
U+57E6,埦
U+57F0,埰
U+57F8,埸
U+57FB,埻
U+57FD,埽
U+5804,堄
U+581E,堞
U+5820,堠
U+5827,堧
U+5832,堲
U+5839,堹
U+5849,塉
U+584C,塌
U+5867,塧
U+588A,墊
U+588B,墋
U+588D,墍
U+588F,墏
U+5890,墐
U+5894,墔
U+589D,墝
U+58AA,墪
U+58B1,墱
U+58C3,壃
U+58CD,壍
U+58E2,壢
U+58F3,壳
U+58F4,壴
U+5905,夅
U+5906,夆
U+590B,夋
U+590D,复
U+5914,夔
U+5924,夤
U+593D,夽
U+5946,奆
U+595B,奛
U+595F,奟
U+5975,奵
U+5976,奶
U+597C,奼
U+599F,妟
U+59AE,妮
U+59BC,妼
U+59C8,姈
U+59CD,姍
U+59DE,姞
U+59E3,姣
U+59E4,姤
U+59E7,姧
U+59EE,姮
U+5A0C,娌
U+5A0D,娍
U+5A17,娗
U+5A27,娧
U+5A2D,娭
U+5A55,婕
U+5A65,婥
U+5A7A,婺
U+5A8B,媋
U+5A9C,媜
U+5A9F,媟
U+5AA0,媠
U+5AA2,媢
U+5AB1,媱
U+5AB3,媳
U+5AB5,媵
U+5ABA,媺
U+5ABF,媿
U+5ADA,嫚
U+5ADC,嫜
U+5AE0,嫠
U+5AE5,嫥
U+5AEE,嫮
U+5AF0,嫰
U+5AF5,嫵
U+5B00,嬀
U+5B08,嬈
U+5B17,嬗
U+5B2D,嬭
U+5B34,嬴
U+5B4C,孌
U+5B52,孒
U+5B68,孨
U+5B6F,孯
U+5B7C,孼
U+5B7F,孿
U+5B81,宁
U+5B84,宄
U+5B96,宖
U+5BAC,宬
U+5BC0,寀
U+5BCE,寎
U+5BD6,寖
U+5BF1,寱
U+5BFD,寽
U+5C03,尃
U+5C29,尩
U+5C30,尰
U+5C5F,屟
U+5C63,屣
U+5C67,屧
U+5C68,屨
U+5C69,屩
U+5C70,屰
U+5C7C,屼
U+5C88,岈
U+5C8A,岊
U+5CA0,岠
U+5CA2,岢
U+5CA6,岦
U+5CA7,岧
U+5CAD,岭
U+5CB5,岵
U+5CC9,峉
U+5D06,崆
U+5D10,崐
U+5D1D,崝
U+5D20,崠
U+5D24,崤
U+5D26,崦
U+5D2B,崫
U+5D31,崱
U+5D39,崹
U+5D42,嵂
U+5D61,嵡
U+5D6A,嵪
U+5D70,嵰
U+5D88,嶈
U+5D92,嶒
U+5D94,嶔
U+5D97,嶗
U+5D99,嶙
U+5DB0,嶰
U+5DB2,嶲
U+5DB4,嶴
U+5DB9,嶹
U+5DD1,巑
U+5DD7,巗
U+5DD8,巘
U+5DE0,巠
U+5DE4,巤
U+5DE9,巩
U+5E00,帀
U+5E12,帒
U+5E15,帕
U+5E1F,帟
U+5E2E,帮
U+5E3E,帾
U+5E49,幉
U+5E56,幖
U+5E6B,幫
U+5E6C,幬
U+5E6D,幭
U+5E6E,幮
U+5EA5,庥
U+5EAA,庪
U+5EAC,庬
U+5EB9,庹
U+5EBF,庿
U+5EC6,廆
U+5ED2,廒
U+5ED9,廙
U+5EFD,廽
U+5F08,弈
U+5F0E,弎
U+5F1C,弜
U+5F1E,弞
U+5F47,彇
U+5F63,彣
U+5F72,彲
U+5F7E,彾
U+5F8F,徏
U+5FA2,徢
U+5FA4,徤
U+5FB8,徸
U+5FC4,忄
U+5FC7,忇
U+5FCB,忋
U+5FD2,忒
U+5FD3,忓
U+5FD4,忔
U+5FE2,忢
U+5FEE,忮
U+5FEF,忯
U+5FF3,忳
U+5FFC,忼
U+6017,怗
U+6022,怢
U+6024,怤
U+604C,恌
U+607F,恿
U+608A,悊
U+6095,悕
U+60A8,您
U+60B0,悰
U+60B1,悱
U+60BE,悾
U+60C8,惈
U+60D9,惙
U+60DB,惛
U+60EE,惮
U+60F2,惲
U+60F5,惵
U+6110,愐
U+6112,愒
U+6113,愓
U+6119,愙
U+611E,愞
U+613A,愺
U+6141,慁
U+6146,慆
U+6160,慠
U+617C,慼
U+6192,憒
U+6193,憓
U+6197,憗
U+6198,憘
U+61A5,憥
U+61A8,憨
U+61AD,憭
U+61D5,懕
U+61DD,懝
U+61DF,懟
U+61F5,懵
U+6215,戕
U+6223,戣
U+6229,戩
U+6246,扆
U+624C,扌
U+6251,扑
U+6252,扒
U+6261,扡
U+6264,扤
U+626D,扭
U+6273,扳
U+627B,扻
U+6299,抙
U+62A6,抦
U+62D5,拕
U+62FD,拽
U+6303,挃
U+630D,挍
U+6310,挐
U+6332,挲
U+6335,挵
U+633B,挻
U+633C,挼
U+6341,捁
U+6344,捄
U+634E,捎
U+6359,捙
U+636C,捬
U+6384,掄
U+6394,掔
U+6399,掙
U+63BD,掽
U+63D4,揔
U+63D5,揕
U+63DC,揜
U+63E0,揠
U+63EB,揫
U+63EC,揬
U+63F2,揲
U+63F7,揷
U+6409,搉
U+641E,搞
U+6425,搥
U+6429,搩
U+642F,搯
U+645A,摚
U+645B,摛
U+645D,摝
U+6473,摳
U+647D,摽
U+6487,撇
U+6491,撑
U+649D,撝
U+649F,撟
U+64CB,擋
U+64CC,擌
U+64D5,擕
U+64D7,擗
U+64E4,擤
U+64E5,擥
U+64FF,擿
U+6504,攄
U+650F,攏
U+6514,攔
U+6516,攖
U+651E,攞
U+6532,攲
U+6544,敄
U+6554,敔
U+656B,敫
U+657A,敺
U+6581,斁
U+6584,斄
