U+7560,畠
U+7562,畢
U+758B,疋
U+758F,疏
U+7690,皐
U+7693,皓
U+7738,眸
U+77A5,瞥
U+77E9,矩
U+7825,砥
U+7826,砦
U+7827,砧
U+786F,硯
U+7893,碓
U+7897,碗
U+78A7,碧
U+78A9,碩
U+78D0,磐
U+78EF,磯
U+7941,祁
U+7947,祇
U+7950,祐
U+7950,祐
U+7962,祢
U+7977,祷
U+797F,祿
U+7984,禄
U+798E,禎
U+798E,禎
U+79B0,禰
U+79B1,禱
U+79BD,禽
U+79BE,禾
U+79E4,秤
U+79E6,秦
U+7A00,稀
U+7A14,稔
U+7A1C,稜
U+7A1F,稟
U+7A63,穣
U+7A70,穰
U+7A79,穹
U+7A7F,穿
U+7A84,窄
U+7AAA,窪
U+7ABA,窺
U+7AE3,竣
U+7AEA,竪
U+7AFA,竺
U+7AFF,竿
U+7B08,笈
U+7B19,笙
U+7B20,笠
U+7B39,笹
U+7B48,筈
U+7B51,筑
U+7B94,箔
U+7B95,箕
U+7BC7,篇
U+7BE0,篠
U+7C1E,簞
U+7C3E,簾
U+7C7E,籾
U+7C9F,粟
U+7CA5,粥
U+7CCA,糊
U+7D10,紐
U+7D17,紗
U+7D18,紘
U+7D2C,紬
U+7D43,絃
U+7D46,絆
U+7D62,絢
U+7D9C,綜
U+7DB4,綴
U+7DB8,綸
U+7DBA,綺
U+7DBE,綾
U+7DCB,緋
U+7E1E,縞
U+7E61,繡
U+7E6B,繫
U+7E82,纂
U+7E8F,纏
U+7F9A,羚
U+7FD4,翔
U+7FE0,翠
U+8000,耀
U+800C,而
U+8036,耶
U+803D,耽
U+8061,聡
U+8087,肇
U+808B,肋
U+80B4,肴
U+80E1,胡
U+80E4,胤
U+8129,脩
U+8139,脹
U+8154,腔
U+818F,膏
U+81E5,臥
U+821C,舜
U+8235,舵
U+8299,芙
U+82A5,芥
U+82A6,芦
U+82AD,芭
U+82B9,芹
U+82D1,苑
U+82D4,苔
U+82FA,苺
U+8304,茄
U+8305,茅
U+8309,茉
U+831C,茜
U+8338,茸
U+837B,荻
U+8389,莉
U+839E,莞
U+83AB,莫
U+83C5,菅
U+83D6,菖
U+83E9,菩
U+83EB,菫
U+83F1,菱
U+8404,萄
U+840A,萊
U+840C,萌
U+8420,萠
U+8429,萩
U+8431,萱
U+8461,葡
U+8463,董
U+8466,葦
U+8475,葵
U+847A,葺
U+8490,蒐
U+8494,蒔
U+8499,蒙
U+84B2,蒲
U+84BC,蒼
U+84C9,蓉
U+84D1,蓑
U+84EC,蓬
U+84EE,蓮
U+8513,蔓
U+8523,蔣
U+8526,蔦
U+852D,蔭
U+8543,蕃
U+8549,蕉
U+854E,蕎
U+8557,蕗
U+8568,蕨
U+856A,蕪
U+857E,蕾
U+8599,薙
U+85A9,薩
U+85C1,藁
U+8607,蘇
U+862D,蘭
U+8766,蝦
U+8776,蝶
U+87BA,螺
U+87EC,蟬
U+87F9,蟹
U+881F,蠟
U+887F,衿
U+8888,袈
U+88B4,袴
U+88DF,裟
U+88E1,裡
U+88F3,裳
U+8956,襖
U+8A0A,訊
U+8A23,訣
U+8A3B,註
U+8A62,詢
U+8A6B,詫
U+8ABC,誼
U+8AC4,諄
U+8ACF,諏
U+8AD2,諒
U+8AFA,諺
U+8B02,謂
U+8B83,讃
U+8C79,豹
U+8CB0,貰
U+8CD1,賑
U+8D73,赳
U+8DE8,跨
U+8E44,蹄
U+8E5F,蹟
U+8F14,輔
U+8F2F,輯
U+8F3F,輿
U+8F5F,轟
U+8FB0,辰
U+8FBB,辻
U+8FBF,辿
U+8FC2,迂
U+8FC4,迄
U+8FE6,迦
U+8FEA,迪
U+9017,逗
U+9019,這
U+901E,逞
U+9022,逢
U+9041,遁
