U+682C,栬
U+6831,栱
U+6852,桒
U+685B,桛
U+6872,桲
U+6875,桵
U+68A3,梣
U+68A5,梥
U+68B2,梲
U+68C8,棈
U+68D0,棐
U+68E8,棨
U+68ED,棭
U+68F0,棰
U+68F1,棱
U+68FC,棼
U+690A,椊
U+6935,椵
U+6942,楂
U+6949,楉
U+6957,楗
U+6963,楣
U+6964,楤
U+6968,楨
U+6980,榀
U+69A5,榥
U+69AD,榭
U+69CF,槏
U+69E2,槢
U+69E9,槩
U+69EA,槪
U+69F5,槵
U+69F6,槶
U+6A0F,樏
U+6A15,樕
U+6A3B,樻
U+6A3E,樾
U+6A45,橅
U+6A50,橐
U+6A56,橖
U+6A5B,橛
U+6A6B,橫
U+6A73,橳
U+6A89,檉
U+6A94,檔
U+6A9D,檝
U+6A9E,檞
U+6AA5,檥
U+6AE4,櫤
U+6AE7,櫧
U+6B1B,欛
U+6B1E,欞
U+6B2C,欬
U+6B35,欵
U+6B46,歆
U+6B56,歖
U+6B60,歠
U+6B65,步
U+6B67,歧
U+6B77,歷
U+6B82,殂
U+6BA9,殩
U+6BAD,殭
U+6BCF,每
U+6BD6,毖
U+6BD7,毗
U+6BFF,毿
U+6C05,氅
U+6C10,氐
U+6C33,氳
U+6C59,汙
U+6C5C,汜
U+6C74,汴
U+6C76,汶
U+6C85,沅
U+6C86,沆
U+6C98,沘
U+6C9C,沜
U+6CAA,沪
U+6CC6,泆
U+6CD4,泔
U+6CE0,泠
U+6CEB,泫
U+6CEE,泮
U+6CFB,泻
U+6D04,洄
U+6D0E,洎
U+6D2E,洮
U+6D31,洱
U+6D39,洹
U+6D3F,洿
U+6D58,浘
U+6D65,浥
U+6D82,涂
U+6D87,涇
U+6D89,涉
U+6D94,涔
U+6DAA,涪
U+6DAC,涬
U+6DBF,涿
U+6DC4,淄
U+6DD6,淖
U+6DDA,淚
U+6DDB,淛
U+6DDD,淝
U+6DFC,淼
U+6E34,渴
U+6E44,湄
U+6E5C,湜
U+6E5E,湞
U+6EAB,溫
U+6EB1,溱
U+6EC1,滁
U+6EC7,滇
U+6ECE,滎
U+6F10,漐
U+6F1A,漚
U+6F2A,漪
U+6F2F,漯
U+6F33,漳
U+6F51,潑
U+6F59,潙
U+6F5E,潞
U+6F61,潡
U+6F62,潢
U+6F7E,潾
U+6F88,澈
U+6F8C,澌
U+6F8D,澍
U+6F94,澔
U+6FA0,澠
U+6FA7,澧
U+6FB6,澶
U+6FBC,澼
U+6FC7,濇
U+6FCA,濊
U+6FF0,濰
U+6FF5,濵
U+6FF9,濹
U+7005,瀅
U+7006,瀆
U+7028,瀨
U+704A,灊
U+704E,灎
U+705D,灝
U+705E,灞
U+7064,灤
